地名,センター（center.csvを使わない場合は空白化）,その他プラスチック,粗大ごみ《大型家具等》,粗大ごみ《その他粗大ごみ》,破砕ごみ,可燃ごみ,ビン,金属類,ガスライター,乾電池,古紙・古着類,ペットボトル
大宝林大宝東・大宝西・金勝エリア,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
荒張,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
井上,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
笠川,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
上砥山,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
観音寺,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
北中小路,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
小平井,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
十里,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
野尻,環境センター,20190402 20190409 20190416 20190423 20190423 20190430 20190507 20190514 20190521 20190528 20190604 20190611 20190618 20190625 20190702 20190709 20190716 20190723 20190730 20190806 20190813 20190820 20190827 20190903 20190910 20190910 20190917 20190924 20191001 20191008 20191015 20191029 210191105 20191112 20191119 20191126 20191203 20191210 20191217 20191224 20200107 202001014 20200121 20200128 20200204 20200211 20200218 20200225 20200304 20200310 20200317 20200324 20200331,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190403 20190508 20190605 20190703 20190807 20190904 20191002 20191106 20191204 20200108 20200205 20200304,20190401 20190408 20190415 20190422 20190429 20190506 20190513 20190520 20190527 20190603 20190610 20190617 20190624 20190701 20190708 20190715 20190722 20190729 20190805 20190812 20190819 20190826 20190902 20190909 20190916 20190923 20190930 20191007 20191014 20191021 20191028 20191104 20191111 20191118 20191125 20191202 20191209 20191216 20191223 20191230 20200106 20200113 20200120 20200127 20200203 20200210 20200217 20200224 20200302 20200309 20200316 20200316 20200323 20200330,20190419 20190517 20190621 20190719 20190816 20190920 20191018 20191115 20191220 20200117 20200221 20200320,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190417 20190522 20190619 20190717 20190821 20190918 20191016 20191120 20191218 20200122 20200219 20200318,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190406 20190504 20190601 20190706 20190803 20190706 20190803 20190907 20191005 20191005 20191102  20191207 20200104 20200201 20200307,20190412 20190426 20190510 20190524 20190614 20190628 20190712 20190726 20190809 20190823 20190913 201927 20191011 201925 20191108 20191122 20191213 20191227 20200110 20200124 20200214 20200228 20200313 20200327
